"ID","REF_INSEE","NAME","SLUG","NORMALIZED","DEPARTMENT","REGION","IS_DISTRICT","DISTRICT_OF","ZIP_CODES","LATITUDE","LONGITUDE"
"6838","21266","Flacey","flacey","flacey","21","27","0",,"21490","47.4343838109","5.13481855634"
"6839","21267","Flagey-Echézeaux","flagey-echezeaux","flagey echezeaux","21","27","0",,"21640","47.1594712834","4.98251892542"
"6840","21268","Flagey-lès-Auxonne","flagey-les-auxonne","flagey les auxonne","21","27","0",,"21130","47.1312658767","5.3944404843"
"6841","21269","Flammerans","flammerans","flammerans","21","27","0",,"21130","47.230058163","5.44115548466"
"6842","21270","Flavignerot","flavignerot","flavignerot","21","27","0",,"21160","47.2778682909","4.91791708848"
"6843","21271","Flavigny-sur-Ozerain","flavigny-sur-ozerain","flavigny sur ozerain","21","27","0",,"21150","47.5087961778","4.51921128225"
"6844","21272","Le Val-Larrey","le-val-larrey","le val larrey","21","27","0",,"21140","47.4407816289","4.33705444779"
"6845","21273","Fleurey-sur-Ouche","fleurey-sur-ouche","fleurey sur ouche","21","27","0",,"21410","47.3003433625","4.86448475268"
"6846","21274","Foissy","foissy","foissy","21","27","0",,"21230","47.1251182221","4.55154801206"
"6847","21275","Foncegrive","foncegrive","foncegrive","21","27","0",,"21260","47.6173922862","5.14245423253"
"6848","21276","Fontaines-en-Duesmois","fontaines-en-duesmois","fontaines en duesmois","21","27","0",,"21450","47.6493383803","4.53511047065"
"6849","21277","Fontaine-Française","fontaine-francaise","fontaine francaise","21","27","0",,"21610","47.5330200113","5.36407135172"
"6850","21278","Fontaine-lès-Dijon","fontaine-les-dijon","fontaine les dijon","21","27","0",,"21121","47.347590176","5.0247087947"
"6851","21279","Fontaines-les-Sèches","fontaines-les-seches","fontaines les seches","21","27","0",,"21330","47.7844430098","4.35896530181"
"6852","21280","Fontangy","fontangy","fontangy","21","27","0",,"21390","47.3457961806","4.3719767381"
"6853","21281","Fontenelle","fontenelle","fontenelle","21","27","0",,"21610","47.502916038","5.36176306939"
"6854","21282","Forléans","forleans","forleans","21","27","0",,"21460","47.4712138957","4.20681713671"
"6855","21283","Fraignot-et-Vesvrotte","fraignot-et-vesvrotte","fraignot et vesvrotte","21","27","0",,"21580","47.6494704786","4.9384456562"
"6856","21284","Francheville","francheville","francheville","21","27","0",,"21440","47.4593035477","4.87971245404"
"6857","21285","Franxault","franxault","franxault","21","27","0",,"21170","47.0475621038","5.26433353481"
"6858","21286","Frénois","frenois","frenois","21","27","0",,"21120","47.5214332358","4.8907289987"
